Sequence,Series,Start,Duration,Amplitude,Smooth,Spikes
1,1,200,200,1.1832159566199232,False,1
1,2,200,200,1.1832159566199232,False,1
1,3,200,200,1.51657508881031,False,1
1,4,200,200,1.51657508881031,False,1
2,1,200,400,1.1832159566199232,False,1
2,2,200,400,1.1832159566199232,False,1
2,3,200,400,1.51657508881031,False,1
2,4,200,400,1.51657508881031,False,1
3,1,200,100,1.1832159566199232,False,1
3,2,200,100,1.1832159566199232,False,1
3,3,200,100,1.51657508881031,False,1
3,4,200,100,1.51657508881031,False,1
4,1,200,300,1.1832159566199232,False,3
4,2,200,300,1.1832159566199232,False,3
4,3,200,300,1.51657508881031,False,3
4,4,200,300,1.51657508881031,False,3
5,1,200,200,1.1803135176723174,True,1
5,2,200,200,1.1803135176723174,True,1
5,3,200,200,1.5128549170359993,True,1
5,4,200,200,1.5128549170359993,True,1
6,1,200,200,1.1832159566199232,True,1
6,2,200,200,1.1832159566199232,True,1
6,3,200,200,1.51657508881031,True,1
6,4,200,200,1.51657508881031,True,1
7,1,200,20,1.1832159566199232,False,1
7,2,200,20,1.1832159566199232,False,1
7,3,200,20,1.51657508881031,False,1
7,4,200,20,1.51657508881031,False,1
8,1,200,40,1.1832159566199232,False,1
8,2,200,40,1.1832159566199232,False,1
8,3,200,40,1.51657508881031,False,1
8,4,200,40,1.51657508881031,False,1
9,1,200,60,1.1832159566199232,False,1
9,2,200,60,1.1832159566199232,False,1
9,3,200,60,1.51657508881031,False,1
9,4,200,60,1.51657508881031,False,1
10,1,200,80,1.1832159566199232,False,1
10,2,200,80,1.1832159566199232,False,1
10,3,200,80,1.51657508881031,False,1
10,4,200,80,1.51657508881031,False,1
11,1,200,60,1.1832159566199232,False,3
11,2,200,60,1.1832159566199232,False,3
11,3,200,60,1.51657508881031,False,3
11,4,200,60,1.51657508881031,False,3
12,1,200,200,1.1832159566199232,True,1
12,2,200,200,1.1832159566199232,True,1
12,3,200,200,1.51657508881031,True,1
12,4,200,200,1.51657508881031,True,1
13,1,200,600,1.1832159566199232,True,3
13,2,200,600,1.1832159566199232,True,3
13,3,200,600,1.51657508881031,True,3
13,4,200,600,1.51657508881031,True,3
14,1,200,20,1.1832159566199232,False,1
14,2,0,200,1.1832159566199232,False,1
14,3,200,200,1.51657508881031,True,1
14,4,0,200,1.51657508881031,False,1
15,1,200,40,1.1832159566199232,False,1
15,2,200,400,1.1832159566199232,False,1
15,3,200,300,1.51657508881031,False,3
15,4,200,600,1.51657508881031,True,3
16,1,200,60,1.1832159566199232,False,1
16,2,200,200,1.1832159566199232,True,1
16,3,0,200,1.51657508881031,False,1
16,4,200,200,1.51657508881031,True,1
17,1,200,80,1.1832159566199232,False,1
17,2,200,300,1.1832159566199232,False,3
17,3,200,200,1.5128549170359993,True,1
17,4,200,600,1.51657508881031,True,3
18,1,200,60,1.1832159566199232,False,3
18,2,200,600,1.1832159566199232,True,3
18,3,200,300,1.51657508881031,False,3
18,4,0,200,1.51657508881031,False,1
19,1,200,200,1.1832159566199232,True,1
19,2,200,600,1.1803135176723174,True,3
19,3,0,200,1.51657508881031,False,1
19,4,200,600,1.51657508881031,True,3
20,1,200,600,1.1832159566199232,True,3
20,2,200,200,1.1832159566199232,True,1
20,3,200,600,1.5128549170359993,True,3
20,4,200,200,1.51657508881031,False,1
21,1,0,600,1.1803135176723174,True,3
21,2,0,200,1.1832159566199232,True,1
21,3,0,400,1.51657508881031,False,1
21,4,200,200,1.5128549170359993,True,1
22,1,200,100,1.1832159566199232,False,1
22,2,0,200,1.1803135176723174,True,1
22,3,0,60,1.51657508881031,False,3
22,4,200,200,1.51657508881031,True,1
23,1,0,600,1.1832159566199232,True,3
23,2,0,200,1.1803135176723174,True,1
23,3,200,600,1.5128549170359993,True,3
23,4,200,400,1.51657508881031,False,1
24,1,200,200,1.1832159566199232,True,1
24,2,200,600,1.1803135176723174,True,3
24,3,0,200,1.51657508881031,True,1
24,4,0,600,1.51657508881031,True,3
25,1,0,300,1.1832159566199232,False,3
25,2,200,80,1.1832159566199232,False,1
25,3,0,60,1.51657508881031,False,3
25,4,0,600,1.5128549170359993,True,3
26,1,200,400,1.1832159566199232,False,1
26,2,0,400,1.1832159566199232,False,1
26,3,200,600,1.51657508881031,True,3
26,4,0,200,1.5128549170359993,True,1
27,1,0,600,1.1832159566199232,True,3
27,2,200,200,1.1832159566199232,True,1
27,3,0,300,1.51657508881031,False,3
27,4,200,100,1.51657508881031,False,1
28,1,200,200,1.1832159566199232,False,1
28,2,0,200,1.1832159566199232,False,1
28,3,0,200,1.51657508881031,False,1
28,4,200,200,1.5128549170359993,True,1
29,1,200,400,1.1832159566199232,False,1
29,2,0,200,1.1832159566199232,False,1
29,3,200,300,1.51657508881031,False,3
29,4,200,200,1.51657508881031,True,1
30,1,200,100,1.1832159566199232,False,1
30,2,200,300,1.1832159566199232,False,3
30,3,200,200,1.51657508881031,True,1
30,4,200,600,1.51657508881031,True,3
31,1,200,300,1.1832159566199232,False,3
31,2,200,200,1.1803135176723174,True,1
31,3,200,20,1.51657508881031,False,1
31,4,0,200,1.51657508881031,False,1
32,1,200,200,1.1803135176723174,True,1
32,2,0,200,1.1832159566199232,False,1
32,3,200,400,1.51657508881031,False,1
32,4,200,300,1.51657508881031,False,3
33,1,200,200,1.1832159566199232,True,1
33,2,0,80,1.1832159566199232,False,1
33,3,200,200,1.51657508881031,False,1
33,4,200,60,1.51657508881031,False,3
34,1,200,200,1.1832159566199232,True,1
34,2,0,100,1.1832159566199232,False,1
34,3,0,300,1.51657508881031,False,3
34,4,0,400,1.51657508881031,False,1
35,1,0,400,1.1832159566199232,False,1
35,2,200,200,1.1832159566199232,True,1
35,3,200,60,1.51657508881031,False,3
35,4,0,200,1.5128549170359993,True,1
36,1,0,300,1.1832159566199232,False,3
36,2,200,100,1.1832159566199232,False,1
36,3,0,600,1.51657508881031,True,3
36,4,200,200,1.51657508881031,True,1
37,1,0,300,1.1832159566199232,False,3
37,2,200,100,1.1832159566199232,False,1
37,3,0,600,1.5128549170359993,True,3
37,4,200,200,1.5128549170359993,True,1
38,1,0,100,1.1832159566199232,False,1
38,2,0,400,1.1832159566199232,False,1
38,3,200,100,1.51657508881031,False,1
38,4,200,400,1.51657508881031,False,1
39,1,0,400,1.1832159566199232,False,1
39,2,200,400,1.1832159566199232,False,1
39,3,0,400,1.51657508881031,False,1
39,4,200,400,1.51657508881031,False,1
40,1,0,400,1.1832159566199232,False,1
40,2,200,300,1.1832159566199232,False,3
40,3,0,400,1.51657508881031,False,1
40,4,200,60,1.51657508881031,False,3
